,_id,Customer ID,username,Customer Names,Email IDs,Country,adults,children,Total People,Reserved Room_Type,check_in,check_out,Meals,reservation_status,reservation_status_date,Price
0,1,2,michaelsavage,Anne Barker,anne.barker@example.com,Portugal,1,0,1,Standard Room,2015-07-01,2015-07-08,Half Board,Check-Out,2015-07-03,145
2,3,4,kristenjones,Brittany Schneider,brittany.schneider@example.com,Portugal,1,0,1,Standard Room,2015-07-01,2015-07-08,Bed & Breakfast,Canceled,2015-04-30,125
6,7,8,williamjenkins,Sharon Walker,sharon.walker@example.com,Portugal,1,0,1,Standard Room,2015-07-02,2015-07-09,Half Board,Check-Out,2015-07-05,145
7,8,9,alexwilliams,Jessica Wang,jessica.wang@example.com,Portugal,1,0,1,Standard Room,2015-07-02,2015-07-09,Bed & Breakfast,Canceled,2015-06-25,125
13,14,15,npalmer,Alyssa George,alyssa.george@example.com,Portugal,1,0,1,Standard Room,2015-07-03,2015-07-10,Half Board,Check-Out,2015-07-05,145
15,16,17,anthonyramos,Frederick Davis,frederick.davis@example.com,Portugal,1,0,1,Standard Room,2015-07-03,2015-07-10,Half Board,Check-Out,2015-07-05,145
16,17,18,charleswhite,Richard Robinson,richard.robinson@example.com,Portugal,1,0,1,Standard Room,2015-07-03,2015-07-10,Half Board,Canceled,2015-06-16,145
19,20,21,tammyvega,Donald Boyer,donald.boyer@example.com,Portugal,1,0,1,Standard Room,2015-07-03,2015-07-10,Half Board,Canceled,2015-06-29,145
26,27,28,ihess,Dr. Manuel Marshall DVM,dr..manuel marshall.dvm@example.com,Portugal,1,0,1,Standard Room,2015-07-04,2015-07-11,Bed & Breakfast,Canceled,2015-06-01,125
27,28,29,wesleychang,Connor Lewis,connor.lewis@example.com,Portugal,1,0,1,Standard Room,2015-07-04,2015-07-11,Bed & Breakfast,Canceled,2015-06-23,125
29,30,31,enorton,Danielle White,danielle.white@example.com,Portugal,1,0,1,Standard Room,2015-07-04,2015-07-11,Bed & Breakfast,Check-Out,2015-07-08,125
34,35,36,reynoldstiffany,Laura Crawford,laura.crawford@example.com,Portugal,1,0,1,Standard Room,2015-07-06,2015-07-13,Bed & Breakfast,Canceled,2015-04-21,125
35,36,37,desireemitchell,Austin Thomas,austin.thomas@example.com,Portugal,1,0,1,Standard Room,2015-07-06,2015-07-13,Bed & Breakfast,Canceled,2015-06-20,125
42,43,44,simmonsemily,Lisa Martinez,lisa.martinez@example.com,Portugal,1,0,1,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-06-26,125
44,45,46,melindakirby,Erica Griffith,erica.griffith@example.com,Portugal,2,1,3,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Check-Out,2015-07-09,175
54,55,56,thomas07,Gregg Walker,gregg.walker@example.com,Portugal,1,0,1,Standard Room,2015-07-07,2015-07-14,No Meal,Canceled,2015-04-08,100
55,56,57,dcisneros,Zoe Floyd,zoe.floyd@example.com,Portugal,1,0,1,Standard Room,2015-07-07,2015-07-14,No Meal,Canceled,2015-04-11,100
56,57,58,francochristine,Karen Schmitt,karen.schmitt@example.com,Portugal,1,0,1,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-04-08,125
65,66,67,billy05,Kyle Morales,kyle.morales@example.com,Portugal,3,0,3,Standard Room,2015-07-09,2015-07-16,Bed & Breakfast,Canceled,2015-06-15,175
71,72,73,glucas,Brandon Fuentes,brandon.fuentes@example.com,Portugal,1,0,1,Standard Room,2015-07-10,2015-07-17,Bed & Breakfast,Canceled,2015-05-25,125
75,76,77,alejandra90,Juan Edwards,juan.edwards@example.com,Portugal,1,0,1,Standard Room,2015-07-11,2015-07-18,No Meal,Check-Out,2015-07-12,100
77,78,79,lauragallegos,Sandra Coleman MD,sandra.coleman.md@example.com,Portugal,1,0,1,Standard Room,2015-07-11,2015-07-18,No Meal,Check-Out,2015-07-12,100
78,79,80,martha00,Dean Zimmerman,dean.zimmerman@example.com,Portugal,3,0,3,Standard Room,2015-07-11,2015-07-18,Bed & Breakfast,Check-Out,2015-07-12,175
86,87,88,kimberlydalton,Joshua Evans,joshua.evans@example.com,Portugal,3,0,3,Standard Room,2015-07-11,2015-07-18,Half Board,Check-Out,2015-07-14,235
90,91,92,stevencarr,Allison Rangel,allison.rangel@example.com,Portugal,1,0,1,Standard Room,2015-07-11,2015-07-18,Half Board,Check-Out,2015-07-14,145
